Name,Astronaut Year,Group,Status,Birth Year,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Occupation Field,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Terrence W. Wilcutt,1990,13,Management,1949,10/31/49,"Russellville, KY",Male,Western Kentucky University,Mathematics,,Civilian,,,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Brent W. Jett,1992,14,Retired,1958,10/5/58,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Nancy J. Currie,1990,13,Management,1958,12/29/58,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Military,Colonel,US Army (Retired),4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
Mark L. Polansky,1996,16,Retired,1956,6/2/56,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Civilian,,,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
Ellen Ochoa,1990,13,Management,1958,5/10/58,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,Civilian,,,4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
Brian Duffy,1985,11,Retired,1953,6/20/53,"Boston, MA",Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Military,Colonel,US Air Force (Retired),4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
Kathryn C. Thornton,1984,10,Retired,1952,8/17/52,"Montgomery, AL",Female,Auburn University; University of Virginia,Physics,Physics,Civilian,,,4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
Christopher J. Ferguson,1998,17,Retired,1961,9/1/61,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Stephen G. Bowen,2000,18,Active,1964,2/13/64,"Cohasset, MA",Male,US Naval Academy; MIT,Electrical Engineering,Ocean Engineering,Military,Captain,US Navy,3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
Michael A. Baker,1985,11,Management,1953,10/27/53,"Memphis, TN",Male,University of Texas,Aerospace Engineering,,Military,Captain,US Navy (Retired),4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,
Steven L. Smith,1992,14,Management,1958,12/30/58,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,Civilian,,,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
Charles J. Precourt,1990,13,Retired,1955,6/29/55,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Military,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
Patrick G. Forrester,1996,16,Management,1957,3/31/57,"El Paso, TX",Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Military,Colonel,US Army (Retired),3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Richard A. Searfoss,1990,13,Retired,1956,6/5/56,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,Military,Colonel,US Air Force (Retired),3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,
Linda M. Godwin,1985,11,Retired,1952,7/2/52,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,Civilian,,,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
Pamela A. Melroy,1995,15,Retired,1961,9/17/61,"Palo Alto, CA",Female,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,Military,Colonel,US Air Force (Retired),3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
Robert D. Cabana,1985,11,Management,1949,1/23/49,"Minneapolis, MN",Male,US Naval Academy,Mathematics,,Military,Colonel,US Marine Corps (Retired),4,910,0,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,
Andrew M. Allen,1987,12,Retired,1955,8/4/55,"Philadelphia, PA",Male,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Military,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
Robert L. Curbeam Jr. ,1995,15,Retired,1962,3/5/62,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Military,Captain,US Navy (Retired),3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Eileen M. Collins,1990,13,Retired,1959,11/19/59,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Military,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
Charles O. Hobaugh,1996,16,Retired,1961,11/5/61,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,,Military,Colonel,US Marine Corps (Retired),3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Rex J. Walheim,1996,16,Active,1962,10/10/62,"Redwood, CA",Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Military,Colonel,US Air Force (Retired),3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
Robert L. Gibson,1978,8,Retired,1946,10/30/46,"Cooperstown, NY",Male,California Polytechnic Institute,Aeronautical Engineering,,Military,Captain,US Navy (Retired),5,868,0,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
James F. Reilly II ,1995,15,Retired,1954,3/18/54,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,Geosciences,Geosciences,Civilian,,,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,
Jerome Apt III ,1985,11,Retired,1949,4/18/49,"Springfield, MA",Male,Harvard University; MIT,Physics,Physics,Civilian,,,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,
Piers J. Sellers,1996,16,Management,1955,4/11/55,"Crowborough, England",Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,Civilian,,,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,
John W. Young,1962,2,Retired,1930,9/24/30,"San Francisco, CA",Male,Georgia Institute of Technology,Aeronautical Engineering,,Military,Captain,US Navy (Retired),6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
John H. Casper,1984,10,Management,1943,7/9/43,"Greenville, SC",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Military,Colonel,US Air Force (Retired),4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
Gregory J. Harbaugh,1987,12,Retired,1956,4/15/56,"Cleveland, OH",Male,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,Civilian,,,4,817,3,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
Stephen S. Oswald,1985,11,Retired,1951,6/30/51,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,,Civilian,,,3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,
Thomas D. Akers,1987,12,Retired,1951,5/20/51,"St. Louis, MO",Male,University of Missouri-Rolla,Applied Mathematics,Applied Mathematics,Military,Colonel,US Air Force (Retired),4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
Richard N. Richards,1980,9,Retired,1946,8/24/46,"Key West, FL",Male,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,Military,Captain,US Navy (Retired),4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,
Janet L. Kavandi,1995,15,Management,1959,7/17/59,"Springfield, MO",Female,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,Civilian,,,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,
Paul J. Weitz,1966,5,Retired,1932,6/25/32,"Erie, PA",Male,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),2,793,1,2,"Skylab 2, STS-6 (Challenger)",,
Daniel C. Brandenstein,1978,8,Retired,1943,1/17/43,"Watertown, WI",Male,University of Wisconsin,Mathematics & Physics,,Military,Captain,US Navy (Retired),4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
Mark C. Lee,1984,10,Retired,1952,8/14/52,"Viroqua, WI",Male,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,Military,Colonel,US Air Force (Retired),4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
Michael J. Bloomfield,1995,15,Retired,1959,3/16/59,"Flint, MI",Male,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,Military,Colonel,US Air Force (Retired),3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",,
Steven A. Hawley,1978,8,Retired,1951,12/12/51,"Ottawa, KS",Male,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,Civilian,,,5,770,0,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,
Richard J. Hieb,1985,11,Retired,1955,9/21/55,"Jamestown, ND",Male,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,Civilian,,,3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
Gregory H. Johnson,1998,17,Active,1962,5/12/62,"London, England",Male,US Air Force Academy; Columbia University; University of Texas,Aeronautical Engineering,Flight Structures Engineering; Business Administration,Military,Colonel,US Air Force (Retired),2,755,0,0,"STS-123 (Endeavor), STS-134 (Endeavor)",,
Vance D. Brand,1966,5,Retired,1931,5/9/31,"Longmont, CA",Male,University of Colorado; University of California Los Angeles,Business Management; Aeronautical Engineering,Business Administration,Civilian,,US Marine Corps Reserves,4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)",,
Kalpana Chawla,1995,15,Deceased,1961,6/1/61,"Karnal, India",Female,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Aeronautical Engineering,Aerospace Engineering,Civilian,,,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)",37653,STS-107 (Columbia)
Daniel T. Barry,1992,14,Retired,1953,12/30/53,"Norwalk, CT",Male,Cornell University; Princeton University; University of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,Civilian,,,3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
David M. Walker,1978,8,Deceased,1944,5/20/44,"Columbus, GA",Male,US Naval Academy,Naval Sciences,,Military,Captain,US Navy (Retired),4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",37004,
Margaret Rhea Seddon,1978,8,Retired,1947,11/8/47,"Murfreesboro, TN",Female,University of California-Berkeley; University of Tennessee,Physiology,Medicine,Civilian,,,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,
Steven R. Nagel,1978,8,Retired,1946,10/27/46,"Canton, IL",Male,University of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,Military,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,
James A. Lovell Jr. ,1962,2,Retired,1928,3/25/28,"Cleveland, OH",Male,US Naval Academy,,,Military,Captain,US Navy (Retired),4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,
G. David Low,1984,10,Deceased,1956,2/19/56,"Cleveland, OH",Male,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,Civilian,,,3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",39522,
Carl J. Meade,1985,11,Retired,1950,11/16/50,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,Military,Colonel,US Air Force (Retired),3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
Kathryn P. Hire,1995,15,Management,1959,8/26/59,"Mobile, AL",Female,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,Military,Captain,US Naval Reserves,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",,
Robert L. Behnken,2000,18,Active,1970,7/28/70,"Creve Couer, MO",Male,Washington University; California Institute of Technology,Physics & Mechanical Engineering,Mechanical Engineering,Military,Colonel,US Air Force,2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)",,
Kevin P. Chilton,1987,12,Retired,1954,3/11/54,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,Military,Brigadier General,US Air Force (Retired),3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
George D. Zamka,1998,17,Retired,1962,6/29/62,"Jersey City, NJ",Male,US Naval Academy; Florida Institute of Technology,Mathematics,Engineering Management,Military,Colonel,US Marine Corps (Retired),2,692,0,0,"STS-120 (Discovery), STS-130 (Endeavor)",,
Guion S. Bluford Jr. ,1978,8,Retired,1942,11/22/42,"Philadelphia, PA",Male,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Aerospace Engineering,Aerospace Engineering; Business Administration,Military,Colonel,US Air Force (Retired),4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",,
Eric A. Boe,2000,18,Active,1964,10/1/64,"Miami, FL",Male,US Air Force Academy; Georgia Institute of Technology,Aeronautical Engineering,Electrical Engineering,Military,Colonel,US Air Force,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)",,
Andrew J. Feustel,2000,18,Active,1965,8/25/65,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,Civilian,,,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)",,
Ellen S. Baker,1984,10,Retired,1953,4/27/53,"Fayettesville, NC",Female,State University of New York-Buffalo; Cornell University; University of Texas,Geology,Medicine; Public Health,Civilian,,,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,
Douglas G. Hurley,2000,18,Active,1966,10/21/66,"Endicott, NY",Male,Tulane University,Civil Engineering,,Military,Colonel,US Marine Corps,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Charles F. Bolden Jr. ,1980,9,Management,1946,8/19/46,"Columbia, SC",Male,US Naval Academy; University of Southern California,Electrical Science,Systems Management,Military,Major General,US Marine Corps (Retired),4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,
N. Jan Davis,1987,12,Retired,1953,11/1/53,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,Civilian,,,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
William F. Readdy,1987,12,Retired,1952,1/24/52,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,,Military,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
Joseph P. Kerwin,1965,4,Retired,1932,2/19/32,"Oak Park, IL",Male,College of the Holy Cross; Northwestern University,Philosophy,Medicine,Military,Captain,US Navy (Retired),1,672,1,3,Skylab 2,,
Alan G. Poindexter,1998,17,Deceased,1961,11/5/61,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Military,Captain,US Navy,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)",41091,
Michael R. Clifford,1990,13,Retired,1952,10/13/52,"San Bernardino, CA",Male,US Military Academy; Georgia Institute of Technology,,Aerospace Engineering,Military,Lieutenant Colonel,US Army (Retired),3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
John D. Olivas,1998,17,Retired,1966,5/25/66,"North Hollywood, CA",Male,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,Civilian,,,2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)",,
Paul S. Lockhart,1996,16,Retired,1956,4/28/56,"Amarillo, TX",Male,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,Military,Colonel,US Air Force (Retired),2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)",,
Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,1963,2/7/63,"St. Paul, MN",Female,MIT,Mechanical Engineering,,Military,Captain,US Navy,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)",,
Jeffrey S. Ashby,1995,15,Retired,1954,6/1/54,"Dallas, TX",Male,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,Military,Captain,US Navy (Retired),3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
Pierre J. Thuot,1985,11,Retired,1955,5/19/55,"Groton, CT",Male,US Naval Academy; University of Southern California,Physics,Systems Management,Military,Commander,US Navy,3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
Richard O. Covey,1978,8,Retired,1946,8/1/46,"Fayetteville, AR",Male,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,Military,Colonel,US Air Force (Retired),4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
James M. Kelly,1996,16,Management,1964,5/14/64,"Burlington, IA",Male,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,Military,Colonel,US Air Force (Retired),2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)",,
Lee J. Archambault,1998,17,Retired,1960,8/25/60,"Oak Park, IL",Male,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Military,Colonel,US Air Force,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)",,
Niclolas J. M. Patrick,1998,17,Retired,1964,3/22/64,"North Yorkshire, England",Male,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,Civilian,,,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)",,
Michael J. Foreman,1998,17,Management,1957,3/29/57,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Ronald J. Grabe,1980,9,Retired,1945,6/13/45,"New York, NY",Male,US Air Force Academy,Engineering Science,,Military,Colonel,US Air Force (Retired),4,627,0,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
Rick D. Husband,1995,15,Deceased,1957,7/12/57,"Amarillo, TX",Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Military,Colonel,US Air Force,2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)",37653,STS-107 (Columbia)
Samuel T. Durrance,,,Retired,1943,9/17/43,"Tallahassee, FL",Male,California State University; University of Colorado,Physics,Physics; Astrogeophysics,Civilian,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",,
Ronald A. Parise,,,Deceased,1951,5/24/51,"Warren, OH",Male,Youngstown State University; University of Florida,Physics,Astronomy,Civilian,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",39577,
Alvin B. Drew Jr. ,2000,18,Active,1962,11/5/62,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Military,Colonel,US Air Force,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)",,
Kenneth T. Ham,1998,17,Retired,1964,12/12/64,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Military,Captain,US Navy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",,
Donald R. McMonagle,1987,12,Retired,1952,5/14/52,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Military,Colonel,US Air Force (Retired),3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
Michael P. Anderson,1995,15,Deceased,1959,12/25/59,"Plattsburgh, NY",Male,University of Washington; Creighton University,Physics & Astronomy,Physics,Military,Lieutenant Colonel,US Air Force,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)",37653,STS-107 (Columbia)
Michael T. Good,2000,18,Management,1962,10/13/62,"Parma, OH",Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Military,Colonel,US Air Force (Retired),2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)",,
Winston E. Scott,1992,14,Retired,1950,8/6/50,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Military,Captain,US Navy (Retired),2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",,
Charles D. Gemar,1985,11,Retired,1955,8/4/55,"Yanktown, SD",Male,US Military Academy,Engineering,,Military,Lieutenant Colonel,US Army,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Dominic A. Antonelli,2000,18,Active,1967,8/23/67,"Detroit, MI",Male,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Military,Commander,US Navy,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)",,
Michael J. Massimino,1996,16,Management,1962,8/19/62,"Oceanside, NY",Male,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,Civilian,,,2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)",,
Stephen N. Frick,1996,16,Management,1961,9/30/61,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
Eugene A. Cernan,1963,3,Retired,1934,3/14/34,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",,
Robert L. Crippen,1969,7,Retired,1937,9/11/37,"Beaumont, TX",Male,University of Texas,Aerospace Engineering,,Military,Captain,US Navy (Retired),4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
Leland D. Melvin,1998,17,Management,1964,2/15/64,"Lynchburg, VA",Male,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,Civilian,,,2,565,0,0,"STS-122 (Atlantis), STS-129 (Atlantis)",,
Kenneth D. Cameron,1984,10,Retired,1949,11/29/49,"Cleveland, OH",Male,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,Military,Colonel,US Marine Corps (Retired),3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Mario Runco Jr. ,1987,12,Management,1952,1/26/52,"Bronx, NY",Male,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Military,Lieutenant Commander,US Navy (Retired),3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",37004,
David R. Scott,1963,3,Retired,1932,6/6/32,"San Antonio, TX",Male,US Military Academy; MIT,,Aeronautics & Astronautics,Military,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",,
Brewster H. Shaw Jr. ,1978,8,Retired,1945,5/16/45,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Military,Colonel,US Air Force (Retired),3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
David C. Leestma,1980,9,Management,1949,5/6/49,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
Kathryn D. Sullivan,1978,8,Retired,1951,10/3/51,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,Civilian,,,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,
Thomas K. Mattingly II ,1966,5,Retired,1936,3/17/36,"Chicago, IL",Male,Auburn University,Aeronautical Engineering,,Military,Rear Admiral,US Navy (Retired),3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",,
Thomas P. Stafford,1962,2,Retired,1930,9/17/30,"Weatherford, OK",Male,US Naval Academy,,,Military,Lieutenant General,US Air Force (Retired),4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
David C. Hilmers,1980,9,Retired,1950,1/28/50,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Military,Colonel,US Marine Corps (Retired),4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
James F. Buchli,1978,8,Retired,1945,6/20/45,"New Rockford, ND",Male,US Naval Academy; University of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,Military,Colonel,US Marine Corps (Retired),4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",,
Sidney M. Gutierrez,1984,10,Retired,1951,6/27/51,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Military,Colonel,US Air Force (Retired),2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)",,
